"","screen_name","text","Tweeter_Credibility","Tweet_Credibility","Credibility"
"1","mopowell","RT @OfficialNOI: “Based on America’s history of false flag operations, great doubt exists as to the truth of whether the Syrian government…","HC","LC","NC"
"2","sophietedman","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.","HC","HC","VHC"
"3","SimonAttwood","RT @NeilClark66: Nauseating hypocrisy yet again from the NeoCon Establishment. Silence on the genocide in #Yemen, silence on the Israeli ki…","HC","LC","NC"
"4","Patriot_USA2018","RT @VP: Well said Amb @NikkiHaley. We condemn the chemical attack on civilians in Syria in the strongest possible terms. The world is watch…","LC","LC","VLC"
"5","jsnjk3","RT @BillOReilly: Looks to me like Trump will now fire Mueller after the FBI raided his lawyer’s office this afternoon. The Trump-appointed…","LC","LC","VLC"
"6","mikelking","President Trump Threatens to Strike Syria Over Chemical Weapons Attack https://t.co/DFBsFLBPsW https://t.co/C28nMN2EWb","NC","HC","HC"
"7","UnkleKruncle","RT @Millenniel_Matt: Tucker Carlson: ""What US national security interest is served by invading #Syria ?""

Senator Wicker: ""Well, if you car…","NC","LC","LC"
"8","wagepeaceau","RT @wagepeaceau: .@RichardMarlesMP They lie Richard.
#Syria
#rndrive
#nomoreUSwars https://t.co/k93MPYxbji","NC","LC","LC"
"9","stewardson_bill","RT @Rachael_Swindon: Messy. https://t.co/DW1rpwKmZ6","NC","LC","LC"
"10","LucyLouise544","RT @charliekirk11: Susan Rice told us she got Syria to ""verifiably remove its chemical weapons from Syria""

Of course she lied, like she di…","LC","LC","VLC"
"11","GrayConnolly","Some rather Realpolitik thoughts of mine on Syria here.
 All feedback, comments, criticism, etal, welcomed
https://t.co/0SfmwGvGKe","NC","HC","HC"
"12","Anonylyzer13","RT @TeamTrumpRussia: The #Russian military police reached the area of alleged chemical attack in #Syria #Douma. Local residents say that th…","NC","LC","LC"
"13","tierneykevin1","RT @StuartThomson3: Let me see if I understand:

*Assad has eradicated #ISIS from Syria.

*Assad enjoys support from his people.

*Assad is…","NC","LC","LC"
"14","judicature","""work with muslims""? Curious prejudices you hold there! https://t.co/3vEuy52YbV","NC","NC","NC"
"15","Mss_Snowball","RT @Habeebinamdar: It wasn’t just bombs,it was potent Chemical Gas inside them that ate their veins!
80 dead gassed &amp; 1000 exposed victims.…","NC","LC","LC"
"16","GoldenOldieC","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.","NC","HC","HC"
"17","zanebland2","RT @RonPaul: Another False Flag - Will Trump Escalate In Syria? https://t.co/v8ZAPaNRnh","LC","HC","NC"
