"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"1","RT @OfficialNOI: “Based on America’s history of false flag operations, great doubt exists as to the truth of whether the Syrian government…",328,FALSE,FALSE,"983631818564943872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",67,FALSE,"SF Bay Area","20886137","Neofolk musician, urban development journalist, chef. http://tilhas.org",TRUE,"Sun Feb 15 01:49:11 +0000 2009",23717,846,121,FALSE,"http://tilhas.org","Michael Orion Powell","Alaska","en",-28800,2013,"mopowell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.",527,FALSE,FALSE,"983631819466788864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",31,FALSE,"Cheshire","20045331","Upcycling designer, knitter, lapsed muso, runner, labour & momentum, JC4PM . Recovering from brain hemorrhage & a bit crap at staying out of hospital",FALSE,"Wed Feb 04 11:16:56 +0000 2009",29679,1198,25171,FALSE,NA,"Sophie #MEH","London","en",3600,1195,"sophietedman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","RT @NeilClark66: Nauseating hypocrisy yet again from the NeoCon Establishment. Silence on the genocide in #Yemen, silence on the Israeli ki…",619,FALSE,FALSE,"983631819869483008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",13,FALSE,"London","130135803","Project manager, Neuroscience geek & blogger, specialising in stress and developmental trauma. Play a bit of badminton.",TRUE,"Tue Apr 06 12:20:52 +0000 2010",15414,674,7786,FALSE,"https://sycofx.wordpress.com/","Simon Attwood","London","en",3600,1244,"SimonAttwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","RT @VP: Well said Amb @NikkiHaley. We condemn the chemical attack on civilians in Syria in the strongest possible terms. The world is watch…",1426,FALSE,FALSE,"983631820033060864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",0,FALSE,NA,"879644188916289536","#MAGA2018",FALSE,"Tue Jun 27 10:14:52 +0000 2017",176,308,272,FALSE,NA,"Patriot USA 2018","Pacific Time (US & Canada)","ro",-25200,103,"Patriot_USA2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","RT @BillOReilly: Looks to me like Trump will now fire Mueller after the FBI raided his lawyer’s office this afternoon. The Trump-appointed…",2047,FALSE,FALSE,"983631820263755776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",0,FALSE,NA,"714987518261862400",NA,FALSE,"Wed Mar 30 01:28:03 +0000 2016",527,42,96,FALSE,NA,"jsnjk",NA,"en",NA,155,"jsnjk3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","President Trump Threatens to Strike Syria Over Chemical Weapons Attack https://t.co/DFBsFLBPsW https://t.co/C28nMN2EWb",0,FALSE,FALSE,"983631808636923904",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",FALSE,"Tue Apr 10 09:04:32 +0000 2018",NA,NA,"en",917,FALSE,"Medford, NY, USA","27052060","20+yr Technology Leader, Public Speaker, Columnist, USCG Veteran, Brewer of beer, Coffee Evangelist - Director of WordPress Development at Reader's Digest",TRUE,"Fri Mar 27 17:30:52 +0000 2009",207172,8834,1907,FALSE,"http://mikelking.com/about/","Mikel King","Eastern Time (US & Canada)","en",-14400,7911,"mikelking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dlvr.it/QP21rS","https://t.co/DFBsFLBPsW"
"7","RT @Millenniel_Matt: Tucker Carlson: ""What US national security interest is served by invading #Syria ?""

Senator Wicker: ""Well, if you car…",1100,FALSE,FALSE,"983631820993548290",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:35 +0000 2018",NA,NA,"en",1,FALSE,"Disrepair, USA.","777035273951711232","The most self-deprecating narcissist you wish you never met.",FALSE,"Sat Sep 17 06:43:40 +0000 2016",17853,271,66692,FALSE,NA,"Uncle Crunkle",NA,"en",NA,1441,"UnkleKruncle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","RT @wagepeaceau: .@RichardMarlesMP They lie Richard.
#Syria
#rndrive
#nomoreUSwars https://t.co/k93MPYxbji",1,FALSE,FALSE,"983631822662725634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:36 +0000 2018",NA,NA,"en",8,FALSE,"Australia","839300018192318464","Strategic messaging support 4 activitie & groups disturbing war & militarism in Australia. We 'organise' & 'mobilise' 2 #endwarculture #nomoreUSwars @pestoriusm",TRUE,"Wed Mar 08 02:21:32 +0000 2017",4540,382,1944,FALSE,"https://twitter.com/wagepeaceau","#WagePeace",NA,"en",NA,417,"wagepeaceau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/CraigMurrayOrg/status/983465847124647941","https://t.co/k93MPYxbji"
"9","RT @Rachael_Swindon: Messy. https://t.co/DW1rpwKmZ6",43,FALSE,FALSE,"983631823283675136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:36 +0000 2018",NA,NA,"en",6,FALSE,"sheffield","1621053301","Roger Waters fan, Author of ""Fear of a Blank Mind"", Labour Party member. Rotherham United fan. The cat is called Snowy. YouTube. Momentum.",TRUE,"Thu Jul 25 18:43:29 +0000 2013",30422,920,23420,FALSE,"http://jamtoday.org.uk","bill stewardson CORBYN CULTIST<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>","London","en",3600,1114,"stewardson_bill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/breakingnlive/status/983450236260618240","https://t.co/DW1rpwKmZ6"
"10","RT @charliekirk11: Susan Rice told us she got Syria to ""verifiably remove its chemical weapons from Syria""

Of course she lied, like she di…",2435,FALSE,FALSE,"983631824390942720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:36 +0000 2018",NA,NA,"en",0,FALSE,NA,"919557620645744640",NA,FALSE,"Sun Oct 15 13:36:36 +0000 2017",2745,62,4665,FALSE,NA,"Lucy Louise",NA,"en",NA,114,"LucyLouise544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Some rather Realpolitik thoughts of mine on Syria here.
 All feedback, comments, criticism, etal, welcomed
https://t.co/0SfmwGvGKe",0,FALSE,FALSE,"983631826106200064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:36 +0000 2018",NA,NA,"en",301,FALSE,"Sydney, Australia","499696436","Husbandist|Strategist|Realist|Militarist|Ultramontanist|Biblicalist|Jurist| ~SSFC/RFC/ISTJ/Car guy/Basset Hound owner~Proverbs 27:17~ RTs=interesting/appalling",TRUE,"Wed Feb 22 11:28:07 +0000 2012",201822,9746,181251,FALSE,"http://strategycounsel.blogspot.com.au","G<U+0280><U+1D00><U+028F> C<U+1D0F><U+0274><U+0274><U+1D0F><U+029F><U+029F><U+028F>","Sydney","en-gb",36000,3560,"GrayConnolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://strategycounsel.blogspot.com.au/2018/04/the-syrian-war.html","https://t.co/0SfmwGvGKe"
"12","RT @TeamTrumpRussia: The #Russian military police reached the area of alleged chemical attack in #Syria #Douma. Local residents say that th…",601,FALSE,FALSE,"983631826148196352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:37 +0000 2018",NA,NA,"en",3,FALSE,"HKG","794539044600356864","THE KISSINGER CABLES  ""The illegal we do immediately; the unconstitutional takes a little longer."" -- Henry A. Kissinger   US Secretary of State, Mar 10, 1975:",FALSE,"Fri Nov 04 13:57:24 +0000 2016",5286,144,4439,FALSE,NA,"Firestarter",NA,"en",NA,264,"Anonylyzer13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","RT @StuartThomson3: Let me see if I understand:

*Assad has eradicated #ISIS from Syria.

*Assad enjoys support from his people.

*Assad is…",1,FALSE,FALSE,"983631828299984896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:37 +0000 2018",NA,NA,"en",8,FALSE,"ireland","2867484577","Scottish & Celtic",FALSE,"Mon Oct 20 15:30:53 +0000 2014",11910,783,46244,FALSE,NA,"Scirish McScirish",NA,"en",NA,983,"tierneykevin1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
