"","text","id_str"
"1","RT @OfficialNOI: “Based on America’s history of false flag operations, great doubt exists as to the truth of whether the Syrian government…","983631818564943872"
"2","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.","983631819466788864"
"3","RT @NeilClark66: Nauseating hypocrisy yet again from the NeoCon Establishment. Silence on the genocide in #Yemen, silence on the Israeli ki…","983631819869483008"
"4","RT @VP: Well said Amb @NikkiHaley. We condemn the chemical attack on civilians in Syria in the strongest possible terms. The world is watch…","983631820033060864"
"5","RT @BillOReilly: Looks to me like Trump will now fire Mueller after the FBI raided his lawyer’s office this afternoon. The Trump-appointed…","983631820263755776"
"6","President Trump Threatens to Strike Syria Over Chemical Weapons Attack https://t.co/DFBsFLBPsW https://t.co/C28nMN2EWb","983631808636923904"
"7","RT @Millenniel_Matt: Tucker Carlson: ""What US national security interest is served by invading #Syria ?""

Senator Wicker: ""Well, if you car…","983631820993548290"
"8","RT @wagepeaceau: .@RichardMarlesMP They lie Richard.
#Syria
#rndrive
#nomoreUSwars https://t.co/k93MPYxbji","983631822662725634"
"9","RT @Rachael_Swindon: Messy. https://t.co/DW1rpwKmZ6","983631823283675136"
"10","RT @charliekirk11: Susan Rice told us she got Syria to ""verifiably remove its chemical weapons from Syria""

Of course she lied, like she di…","983631824390942720"
"11","Some rather Realpolitik thoughts of mine on Syria here.
 All feedback, comments, criticism, etal, welcomed
https://t.co/0SfmwGvGKe","983631826106200064"
"12","RT @TeamTrumpRussia: The #Russian military police reached the area of alleged chemical attack in #Syria #Douma. Local residents say that th…","983631826148196352"
"13","RT @StuartThomson3: Let me see if I understand:

*Assad has eradicated #ISIS from Syria.

*Assad enjoys support from his people.

*Assad is…","983631828299984896"
"14","""work with muslims""? Curious prejudices you hold there! https://t.co/3vEuy52YbV","983631828274876416"
"15","RT @Habeebinamdar: It wasn’t just bombs,it was potent Chemical Gas inside them that ate their veins!
80 dead gassed &amp; 1000 exposed victims.…","983631828614606848"
"16","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.","983631830388760576"
"17","RT @RonPaul: Another False Flag - Will Trump Escalate In Syria? https://t.co/v8ZAPaNRnh","983631831433203713"
"18","RT @RonPaul: Another False Flag - Will Trump Escalate In Syria? https://t.co/v8ZAPaNRnh","983631832498561024"
